Number,Name,Address,Place_ID,Types,Phone,Website,Rating,Decision
1,"The University of Queensland","St Lucia QLD 4072",ChIJSXzrQYJQkWsR6e4QN22U6Zo,"university;point_of_interest;establishment","(07) 3365 1111","https://www.uq.edu.au/",4.5,
2,"Institute of Modern Languages (UQ-IML)","37 Blair Dr, St Lucia QLD 4067",ChIJvbHYBXhakWsRR-l2FDMVNN8,"school;point_of_interest;establishment","(07) 3346 8200","http://www.iml.uq.edu.au/",4.4,
3,"The University of Queensland-Saint Lucia Campus","280-284 Sir Fred Schonell Dr, St Lucia QLD 4067",ChIJIV_bMzVRkWsR6pWOygFaVHs,"university;point_of_interest;establishment","(07) 3365 1111","https://campuses.uq.edu.au/st-lucia",4.9,
4,"Storie Dixon University of Sydney","University of Sydney, Sydney, Storie Dixson Wing, Room 200, Darlington NSW 2008",ChIJeSIV5UuxEmsRJZBS4Kmabss,"university;point_of_interest;establishment","(02) 8627 1444","https://www.sydney.edu.au/",5,
5,"UNSW Sydney","Sydney NSW 2033",ChIJp8ECA4uxEmsRoAd6A2l9AR0,"university;point_of_interest;establishment","(02) 9385 1000","https://www.unsw.edu.au/",4.4,
6,"UNSW Randwick Campus","University of New South Wales, Randwick Campus, 22/32 King St, Randwick NSW 2031",ChIJ15sqRR2yEmsRc1OcszMJI4Y,"university;point_of_interest;establishment","(02) 9385 1000","https://www.unsw.edu.au/",3.6,
7,"UNSW IT","Room G06, D26 Biological Sciences building, University of, Kensington NSW 2033",ChIJp8ECA4uxEmsRwN1Xu5__I8c,"university;consultant;point_of_interest;establishment","(02) 9385 1333","https://www.myit.unsw.edu.au/",3.7,
8,"UNSW College","UNSW College, Building L5, 223 Anzac Parade, Kensington NSW 2033",ChIJPSuaJIyxEmsRGxeI7D_F38o,"point_of_interest;establishment","(02) 8936 2222","http://www.unswcollege.edu.au/",4.1,
9,"UNSW The Nucleus: Student Hub","Level 2, Library (F21), Library Rd, UNSW Sydney, Kensington NSW 2033",ChIJoSpwBiCyEmsRHBT8G4KTdCA,"point_of_interest;establishment","(02) 9385 8500","https://nucleus.unsw.edu.au/",2.6,
10,"UNSW High Street","Randwick NSW 2031, Australia",ChIJ98p7JyCyEmsRoDwMWA74okw,"light_rail_station;transit_station;point_of_interest;establishment","","",4.9,
11,"Multi Faith Centre (N35)","Griffith University, Building N35/170 Kessels Rd, Nathan QLD 4111",ChIJtfNEJtNakWsR2HR0dxXBwyU,"point_of_interest;establishment","(07) 3735 7052","",4.8,
12,"Griffith University, Brisbane South (Nathan) Campus","170 Kessels Rd, Nathan QLD 4111",ChIJ____T35BkWsR3tCdwKBuPbo,"university;point_of_interest;establishment","(07) 3735 7111","https://www.griffith.edu.au/about-griffith/campuses-facilities/brisbane-south-nathan",4.1,
13,"Queensland College of Art and Design, Griffith University, Brisbane City (South Bank) Campus","226 Grey St, South Brisbane QLD 4101",ChIJDbHPgA1akWsRM2nWIytuNpo,"university;art_gallery;point_of_interest;establishment","(07) 3735 7111","https://www.griffith.edu.au/about-griffith/campuses-facilities/brisbane-city-south-bank",4.4,
14,"Royal Brisbane and Women's Hospital","Butterfield St, Herston QLD 4006",ChIJV06QB-tZkWsRxeZ5sis287s,"skin_care_clinic;hospital;doctor;point_of_interest;health;establishment","(07) 3646 8111","https://metronorth.health.qld.gov.au/rbwh/",3.5,
15,"The Royal Melbourne Hospital","300 Grattan St, Parkville VIC 3050",ChIJcQlUfy5d1moR5yLjdZkri50,"hospital;health;point_of_interest;establishment","(03) 9342 7000","https://www.thermh.org.au/",3.3,
16,"The Alfred Spiritual Care","Alfred Hospital, Melbourne VIC 3004",ChIJI_ADDxho1moRZJA38iQQ9xk,"place_of_worship;point_of_interest;establishment","(03) 9076 3138","https://www.alfredhealth.org.au/patients-families-friends/before-you-arrive/facilities-services-at-the-alfred",4.6,
17,"MCEC Prayer Room","Melbourne Exhibition Centre, 1 Convention Centre Pl, South Wharf VIC 3006",ChIJgYmE0g1d1moRcJF_hir3IMc,"place_of_worship;point_of_interest;establishment","","",4.8,
18,"Prayer Room","122-Southern Cross Railway Station, Spencer St, Docklands VIC 3008",ChIJ10muOCZd1moRhuFqowBUbF0,"mosque;place_of_worship;point_of_interest;establishment","","",5,
19,"Islamic Council of Victoria (ICV)","66-68 Jeffcott St, West Melbourne VIC 3003",ChIJxW6TlEhd1moRWsU2crcvzXQ,"mosque;tourist_attraction;place_of_worship;point_of_interest;establishment","(03) 9328 2067","http://www.icv.org.au/",4.8,
20,"Tullamarine Public Hall (Jumuaâ€™h only)","60 Spring St, Tullamarine VIC 3043",ChIJV_Usudhb1moRUOq3m14sOxs,"mosque;place_of_worship;point_of_interest;establishment","0403 399 477","",4.9,
21,"PGCC","9-11 Green St, Doveton VIC 3177",ChIJd-1cIVMR1moRwwoKTwJaQ6Q,"mosque;place_of_worship;point_of_interest;establishment","1800 953 766","http://www.pgcc.org.au/",4.8,
22,"Melbourne Madinah","359 Exhibition St, Melbourne VIC 3000",ChIJ-_oYIrJC1moRQh_iqGoc-k4,"mosque;place_of_worship;point_of_interest;establishment","1300 623 462","https://www.madinahnext.org/",4.7,
23,"UMMA Centre","72 George St, Doncaster East VIC 3109",ChIJ7Zv6gWE41moR_pfsiGAgx34,"mosque;place_of_worship;point_of_interest;establishment","0414 886 421","http://www.umma.org.au/",4.8,
24,"IHIC","6 Lang Rd, Earlwood NSW 2206",ChIJKVbLIXy6EmsRk7L9DT3K5Es,"community_center;event_venue;point_of_interest;establishment","(02) 9558 1114","http://www.ihic.org.au/",4.9,
25,"UMA CENTRE LIMITED","19 Enterprise Ave, Padstow NSW 2211",ChIJL4pkVbi-EmsRiO48W9DQqfw,"community_center;event_venue;point_of_interest;establishment","0416 000 862","http://www.uma.org.au/",4.9,
26,"Daar ibn Umar","level 2/116 Queen St, Campbelltown NSW 2560",ChIJkXR7L_juEmsRIXL4vSrw_ZU,"point_of_interest;establishment","0431 188 780","https://daaribnumar.ad-din.site/",4.9,
27,"Australian Muslim Welfare Centre Incorporated (AMWC)","13-17 Eagleview Rd, Minto NSW 2566",ChIJKYkdUHbrEmsRlYBkZ7VdxEU,"community_center;event_venue;point_of_interest;establishment","","https://amwc.org.au/",4.9,
28,"Australian Muslim Social Services Agency","91-101 Boundary Rd, North Melbourne VIC 3051",ChIJRSo6CyJd1moR0lfy0Cdijgs,"mosque;place_of_worship;point_of_interest;establishment","(03) 9329 0285","http://www.amssa.org.au/",4.9,